Depth,Taxa
12.5,Fragmented hc
12.5,Background
12.5,Background
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Tanypodinae
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Mandible
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Heterotrissocladius marcidus
14.5,Microtendipes pedellus
14.5,Fragmented hc
14.5,Particles
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Multiple
14.5,Multiple
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Tanytarsus lugens
14.5,Fragmented hc
14.5,Pentaneurini spp
14.5,Fragmented hc
14.5,Pentaneurini spp
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Background
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Microtendipes pedellus
14.5,Tanytarsus lugens
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Pseudochironomus spp
14.5,Background
14.5,Blurry specimens
14.5,Particles
14.5,Corynoneura spp
14.5,Blurry specimens
14.5,Micropsectra radialis
14.5,Micropsectra radialis
14.5,Background
14.5,Psectrocladius spp
14.5,Blurry specimens
14.5,Blurry specimens
14.5,Microtendipes pedellus
14.5,Blurry specimens
14.5,Corynoneura spp
14.5,Heterotrissocladius marcidus
14.5,Micropsectra insignilobus
14.5,Fragmented hc
14.5,Micropsectra radialis
14.5,Fragmented hc
14.5,Multiple
14.5,Mandible
14.5,Particles
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Fragmented hc
14.5,Tanypodinae
14.5,Microtendipes pedellus
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Multiple
14.5,Fragmented hc
14.5,Fragmented hc
14.5,Chaoborus th
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Fragmented hc
14.5,Heterotrissocladius marcidus
14.5,Heterotrissocladius marcidus
16.5,Blurry specimens
16.5,Particles
16.5,Micropsectra radialis
16.5,Particles
16.5,Background
16.5,Particles
16.5,Corynoneura spp
16.5,Corynoneura spp
16.5,Orthocladiinae Diamesinae
16.5,Fragmented hc
16.5,Fragmented hc
16.5,Multiple
16.5,Orthocladiinae Diamesinae
16.5,Mandible
16.5,Particles
16.5,Fragmented hc
16.5,Particles
16.5,Fragmented hc
16.5,Orthocladiinae Diamesinae
16.5,Multiple
16.5,Particles
16.5,Fragmented hc
16.5,Corynoneura spp
