Taxa,Depth below sediment water interface (cm)
Paratanytarsus austriacus,1051.5
Background,1051.5
Acari spp,1051.5
Acari spp,1051.5
Mentum,1051.5
Acari spp,1051.5
Acari spp,1051.5
Acari spp,1051.5
Tanypodinae,1051.5
Blurry specimens,1051.5
Acari spp,1051.5
Acari spp,1051.5
Microtendipes,1051.5
Mentum,1051.5
Acari spp,1051.5
Particles,1051.5
Particles,1051.5
Acari spp,1051.5
Particles,1051.5
Particles,1051.5
Microtendipes,1051.5
Background,1051.5
Acari spp,1051.5
Fragmented hc,1051.5
Acari spp,1051.5
Fragmented hc,1051.5
Acari spp,1051.5
Blurry specimens,1051.5
unsure,1051.5
Acari spp,1051.5
Acari spp,1051.5
Acari spp,1051.5
Acari spp,1051.5
Background,1051.5
Particles,1051.5
Acari spp,1051.5
Acari spp,1051.5
Microtendipes,1051.5
Blurry specimens,1051.5
Blurry specimens,1051.5
Acari spp,1051.5
Acari spp,1051.5
Acari spp,1051.5
Blurry specimens,1051.5
Particles,1051.5
Blurry specimens,1051.5
Mentum,1051.5
Blurry specimens,1051.5
Acari spp,1051.5
unsure,1051.5
Background,1051.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Mentum,1052.5
Mentum,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Pseudochironomus spp,1052.5
Pseudochironomus spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Mandible,1052.5
Mandible,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Chaoborus mandible,1052.5
Chaoborus mandible,1052.5
Limnophyes type,1052.5
Limnophyes type,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Mandible,1052.5
Mandible,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Particles,1052.5
Particles,1052.5
Paratanytarsus austriacus,1052.5
Paratanytarsus austriacus,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Pseudochironomus spp,1052.5
Pseudochironomus spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Chironomus spp,1052.5
Chironomus spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Mandible,1052.5
Mandible,1052.5
Corynoneura spp,1052.5
Corynoneura spp,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Mentum,1052.5
Mentum,1052.5
unsure,1052.5
unsure,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Pseudochironomus spp,1052.5
Pseudochironomus spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Particles,1052.5
Particles,1052.5
Acari spp,1052.5
Acari spp,1052.5
Particles,1052.5
Particles,1052.5
Mentum,1052.5
Mentum,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Background,1052.5
Background,1052.5
Particles,1052.5
Particles,1052.5
Acari spp,1052.5
Acari spp,1052.5
Fragmented hc,1052.5
Fragmented hc,1052.5
Chironomus spp,1052.5
Chironomus spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Pseudochironomus spp,1052.5
Pseudochironomus spp,1052.5
Particles,1052.5
Particles,1052.5
Particles,1052.5
Particles,1052.5
Acari spp,1052.5
Acari spp,1052.5
Mentum,1052.5
Mentum,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Tanytarsus lugens,1052.5
Tanytarsus lugens,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
Mandible,1052.5
Mandible,1052.5
Acari spp,1052.5
Acari spp,1052.5
Blurry specimens,1052.5
Blurry specimens,1052.5
Acari spp,1052.5
Acari spp,1052.5
Acari spp,1052.5
